3,-600.59
24687384,230.19,-599.92
24688083,227.11,-599.92
24688776,224.03,-599.92
24689456,221.66,-599.92
24690160,218.94,-599.92
24690853,215.95,-599.92
24691545,212.96,-599.92
24692244,210.76,-599.92
24692932,208.12,-599.92
24693634,205.22,-599.92
24694333,202.50,-599.92
24695025,199.95,-599.92
24695713,197.75,-599.92
24696406,195.03,-599.92
24697104,192.48,-599.92
24697790,190.20,-599.92
24698485,187.73,-599.92
24699179,185.45,-599.92
24699878,183.16,-599.92
24700571,180.97,-599.92
24701267,178.77,-599.92
24701959,176.40,-599.92
24702652,174.64,-599.92
24703345,172.62,-599.92
24704037,170.51,-599.92
24704736,168.40,-599.92
24705421,166.82,-599.92
24706121,164.97,-599.92
24706808,163.12,-599.92
24707500,161.28,-599.92
24708199,159.61,-599.92
24708897,158.20,-599.92
24709590,156.45,-599.92
24710286,154.78,-599.92
24710979,153.28,-599.92
24711671,151.96,-599.92
24712366,150.29,-599.92
24713066,148.62,-599.92
24713763,147.04,-599.92
24714449,145.46,-599.92
24715153,143.96,-599.92
24715845,142.21,-599.92
24716539,140.62,-599.92
24717238,139.04,-599.92
24717931,137.20,-599.92
24718627,135.62,-599.92
24719323,133.95,-599.92
24720021,132.19,-599.92
24720714,130.17,-599.92
24721400,128.14,-599.92
24722099,126.39,-599.92
24722786,123.93,-599.92
24723474,121.11,-599.92
24724171,118.21,-599.92
24724874,115.05,-599.92
24725565,111.97,-599.92
24726268,107.93,-599.92
24726961,103.89,-599.92
24727654,99.58,-599.92
24728346,95.45,-599.92
24729038,90.00,-599.92
24729737,84.99,-599.92
24730423,79.80,-599.92
24731128,73.83,-599.92
24731821,68.55,-599.92
24732511,62.93,-599.92
24733210,57.66,-599.92
24733902,52.21,-599.92
24734594,47.02,-599.92
24735280,43.15,-599.92
24735967,38.94,-599.92
24736659,34.63,-599.92
24737346,31.29,-599.92
24738045,27.95,-599.92
24738737,24.70,-599.92
24739422,21.36,-599.92
24740128,18.37,-599.92
24740826,16.26,-599.92
24741513,13.80,-599.92
24742211,11.34,-599.92
24742903,9.14,-599.92
24743600,7.21,-599.92
24744286,5.62,-599.92
24744977,3.60,-599.92
24745662,1.76,-599.92
24746349,0.35,-599.92
24747040,358.59,-599.92
24747732,356.66,-599.92
24748419,354.90,-599.92
24749117,353.23,-599.92
24749803,351.74,-599.92
24750494,349.80,-599.92
24751192,348.05,-599.92
24751889,346.38,-604.61
24752580,344.88,-604.61
24753282,343.12,-604.61
24753981,341.46,-604.61
24754671,339.79,-604.61
24755372,338.03,-604.61
24756058,336.53,-604.61
24756759,334.78,-604.61
24757441,333.11,-604.61
24758141,331.26,-604.61
24758835,329.59,-604.61
24759520,327.83,-604.61
24760219,326.07,-604.61
24760906,324.05,-604.61
24761593,322.38,-604.61
24762283,320.54,-604.61
24762970,318.69,-604.61
24763666,316.67,-604.61
24764359,314.91,-604.61
24765046,312.98,-604.61
24765747,310.96,-604.61
24766428,308.67,-604.61
24767129,306.47,-604.61
24767828,304.72,-604.61
24768516,302.52,-604.61
24769215,300.15,-604.61
24769908,297.86,-604.61
24770601,295.66,-604.61
24771294,293.64,-604.61
24771982,291.01,-604.61
24772677,288.54,-604.61
24773372,286.08,-604.61
24774072,283.80,-604.61
24774764,280.90,-604.61
24775444,278.17,-604.61
24776151,275.54,-604.61
24776839,272.72,-604.61
24777530,270.09,-604.61
24778222,267.36,-604.61
24778913,264.55,-604.61
24779606,261.56,-604.61
24780292,258.93,-604.61
24780993,256.11,-604.61
24781693,253.21,-604.61
24782391,250.14,-604.61
24783085,247.06,-604.61
24783781,244.60,-604.61
24784461,241.70,-604.61
24785157,238.45,-604.61
24785846,235.28,-604.61
24786534,232.91,-604.61
24787229,230.10,-604.61
24787915,226.93,-604.61
24788608,223.86,-604.61
24789294,221.48,-604.61
24789990,218.67,-604.61
24790698,215.68,-604.61
24791387,212.70,-604.61
24792091,210.06,-604.61
24792777,207.69,-604.61
24793471,204.87,-604.61
24794164,202.15,-604.61
24794852,199.69,-604.61
24795549,197.05,-604.61
24796247,194.68,-604.61
24796940,192.22,-604.61
24797642,189.84,-604.61
24798341,187.38,-604.61
24799039,184.75,-604.61
24799742,182.55,-604.61
24800429,180.70,-604.61
24801131,178.42,-604.61
24801831,176.04,-604.61
24802512,174.02,-604.61
24803206,172.27,-604.61
24803902,170.16,-604.61
24804590,168.05,-604.61
24805288,166.20,-604.61
24805985,164.44,-604.61
24806678,162.69,-604.61
24807379,160.84,-604.61
24808084,159.17,-604.61
24808772,157.50,-604.61
24809458,155.65,-604.61
24810167,154.07,-604.61
24810864,152.75,-604.61
24811551,151.17,-604.61
24812247,149.50,-604.61
24812947,147.83,-604.61
24813638,146.51,-604.61
24814336,144.93,-604.61
24815036,143.17,-604.61
24815723,141.42,-604.61
24816413,140.10,-604.61
24817112,138.34,-604.61
24817796,136.49,-604.61
24818492,134.65,-604.61
24819185,132.89,-604.61
24819877,131.22,-604.61
24820572,129.02,-604.61
24821270,126.83,-604.61
24821974,124.63,-604.61
24822664,121.90,-604.61
24823354,119.36,-604.61
24824053,116.28,-604.61
24824746,113.03,-604.61
24825426,109.16,-604.61
24826127,104.94,-604.61
24826830,101.43,-604.61
24827516,97.21,-604.61
24828216,92.29,-604.61
24828907,87.01,-604.61
24829593,82.79,-604.61
24830283,77.87,-604.61
24830970,72.42,-604.61
24831665,66.80,-604.61
24832352,62.40,-604.61
24833049,57.48,-604.61
24833741,52.29,-604.61
24834427,47.55,-604.61
24835133,43.42,-604.61
24835831,39.99,-604.61
24836516,35.77,-604.61
24837209,32.17,-604.61
24837907,28.92,-604.61
24838605,26.19,-604.61
24839296,22.85,-604.61
24839988,20.04,-604.61
24840679,17.49,-604.61
24841379,15.03,-604.61
24842071,12.83,-604.61
24842767,10.55,-604.61
24843453,8.70,-604.61
24844145,6.68,-604.61
24844836,5.01,-604.61
24845522,3.16,-604.61
24846220,1.49,-604.61
24846911,359.56,-604.61
24847604,357.89,-604.61
24848291,356.13,-604.61
24848984,354.29,-604.61
24849674,352.44,-604.61
24850374,350.77,-604.61
24851072,348.93,-604.61
24851771,347.08,-604.61
24852457,345.23,-596.61
24853162,343.30,-596.61
24853855,341.63,-596.61
24854540,340.14,-596.61
24855235,338.29,-596.61
24855921,336.45,-596.61
24856613,334.69,-596.61
24857307,333.19,-596.61
24858016,331.26,-596.61
24858712,329.33,-596.61
24859410,327.57,-596.61
24860110,325.72,-596.61
24860796,323.96,-596.61
24861484,322.03,-596.61
24862169,320.19,-596.61
24862869,318.34,-596.61
24863569,316.23,-596.61
24864267,314.47,-596.61
24864966,312.54,-596.61
24865664,310.43,-596.61
24866357,308.14,-596.61
24867056,306.04,-596.61
24867748,304.28,-596.61
24868428,301.99,-596.61
24869128,299.53,-596.61
24869825,297.25,-596.61
24870511,295.40,-596.61
24871209,292.94,-596.61
24871907,290.30,-596.61
24872600,287.75,-596.61
24873287,285.29,-596.61
24873980,283.01,-596.61
24874672,280.11,-596.61
24875364,277.47,-596.61
24876069,274.83,-596.61
24876768,271.85,-596.61
24877454,269.30,-596.61
24878159,266.57,-596.61
24878858,263.76,-596.61
24879552,260.68,-596.61
24880250,257.70,-596.61
24880943,255.32,-596.61
24881645,252.51,-596.61
24882338,249.35,-596.61
24883041,246.27,-596.61
24883734,243.46,-596.61
24884425,240.56,-596.61
24885130,237.74,-596.61
24885829,234.76,-596.61
24886512,231.94,-596.61
24887205,229.04,-596.61
24887907,225.88,-596.61
24888600,223.42,-596.61
24889287,220.61,-596.61
24889980,217.71,-596.61
24890673,214.72,-596.61
24891366,212.26,-596.61
24892053,209.62,-596.61
24892749,206.81,-596.61
24893429,203.91,-596.61
24894142,201.62,-596.61
24894830,199.16,-596.61
24895521,196.52,-596.61
24896221,193.80,-596.61
24896911,191.34,-596.61
24897599,189.40,-596.61
24898294,186.86,-596.61
24898988,184.31,-596.61
24899677,182.11,-596.61
24900379,180.26,-596.61
24901078,177.89,-596.61
24901776,175.61,-596.61
24902475,173.58,-596.61
24903165,171.65,-596.61
24903852,169.45,-596.61
24904549,167.78,-596.61
24905248,165.94,-596.61
24905934,164.09,-596.61
24906634,162.16,-596.61
24907332,160.40,-596.61
24908031,158.99,-596.61
24908730,157.32,-596.61
24909411,155.57,-596.61
24910110,153.98,-596.61
24910796,152.75,-596.61
24911485,151.17,-596.61
24912175,149.50,-596.61
24912868,148.01,-596.61
24913558,146.69,-596.61
24914257,145.02,-596.61
24914955,143.26,-596.61
24915653,141.59,-596.61
24916352,140.01,-596.61
24917043,138.60,-596.61
24917735,136.76,-596.61
24918422,135.09,-596.61
24919121,133.42,-596.61
24919802,131.84,-596.61
24920497,129.81,-596.61
24921191,127.88,-596.61
24921893,125.77,-596.61
24922586,123.22,-596.61
24923285,120.76,-596.61
24923978,117.86,-596.61
24924674,114.61,-596.61
24925367,110.74,-596.61
24926059,106.52,-596.61
24926753,102.92,-596.61
24927437,98.35,-596.61
24928137,93.16,-596.61
24928839,87.63,-596.61
24929524,83.06,-596.61
24930222,77.78,-596.61
24930914,71.89,-596.61
24931601,66.01,-596.61
24932290,61.35,-596.61
24932982,55.81,-596.61
24933674,50.27,-596.61
24934361,45.44,-596.61
24935053,41.13,-596.61
24935753,37.53,-596.61
24936433,33.31,-596.61
24937132,29.62,-596.61
24937827,26.46,-596.61
24938515,23.73,-596.61
24939213,20.48,-596.61
24939905,17.67,-596.61
24940598,15.21,-596.61
24941296,12.74,-596.61
24941994,10.55,-596.61
24942685,8.44,-596.61
24943383,6.50,-596.61
24944080,4.57,-596.61
24944777,2.64,-596.61
24945463,1.14,-596.61
24946156,359.47,-596.61
24946849,357.54,-596.61
24947536,355.69,-596.61
24948236,354.29,-596.61
24948922,352.62,-596.61
24949615,350.68,-596.61
24950309,348.93,-596.61
24951005,347.26,-596.61
24951713,345.76,-604.50
24952415,343.92,-604.50
24953114,342.16,-604.50
24953797,340.49,-604.50
24954485,339.08,-604.50
24955185,337.24,-604.50
24955877,335.57,-604.50
24956575,333.90,-604.50
24957272,332.14,-604.50
24957970,330.21,-604.50
24958668,328.71,-604.50
24959355,326.95,-604.50
24960053,325.02,-604.50
24960745,323.09,-604.50
24961430,321.42,-604.50
24962128,319.66,-604.50
24962814,317.72,-604.50
24963504,315.62,-604.50
24964202,313.95,-604.50
24964899,312.01,-604.50
24965602,309.81,-604.50
24966294,307.62,-604.50
24966987,305.51,-604.50
24967679,303.66,-604.50
24968375,301.29,-604.50
24969080,298.92,-604.50
24969773,296.63,-604.50
24970453,294.35,-604.50
24971155,292.15,-604.50
24971846,289.60,-604.50
24972533,287.14,-604.50
24973235,284.50,-604.50
24973921,282.04,-604.50
24974613,279.23,-604.50
24975296,276.59,-604.50
24975989,273.87,-604.50
24976679,271.23,-604.50
24977379,268.24,-604.50
24978077,265.52,-604.50
24978775,262.62,-604.50
24979461,259.45,-604.50
24980162,256.99,-604.50
24980854,254.27,-604.50
24981547,251.28,-604.50
24982243,248.03,-604.50
24982928,245.13,-604.50
24983620,242.75,-604.50
24984305,239.77,-604.50
24985006,236.51,-604.50
24985711,233.61,-604.50
24986406,230.71,-604.50
24987102,228.08,-604.50
24987793,225.00,-604.50
24988472,222.19,-604.50
24989170,219.37,-604.50
24989857,216.83,-604.50
24990547,213.84,-604.50
24991246,211.11,-604.50
24991932,208.39,-604.50
24992631,205.49,-604.50
24993330,203.12,-604.50
24994034,200.57,-604.50
24994726,198.02,-604.50
24995418,195.29,-604.50
24996117,192.66,-604.50
24996797,190.63,-604.50
24997478,188.26,-604.50
24998174,185.62,-604.50
24998867,183.60,-604.50
24999559,181.32,-604.50
25000257,179.12,-604.50
25000949,176.75,-604.50
25001647,174.55,-604.50
25002345,172.53,-604.50
25003049,170.77,-604.50
25003747,168.66,-604.50
25004438,166.73,-604.50
25005137,164.88,-604.50
25005829,163.04,-604.50
25006526,161.37,-604.50
25007216,159.70,-604.50
25007908,158.03,-604.50
25008597,156.27,-604.50
25009295,154.78,-604.50
25009993,153.19,-604.50
25010683,151.70,-604.50
25011382,150.03,-604.50
25012080,148.45,-604.50
25012776,147.13,-604.50
25013462,145.55,-604.50
25014162,143.79,-604.50
25014854,142.03,-604.50
25015547,140.45,-604.50
25016243,138.96,-604.50
25016926,137.11,-604.50
25017619,135.26,-604.50
25018302,133.77,-604.50
25018995,131.92,-604.50
25019685,129.81,-604.50
25020382,127.79,-604.50
25021080,125.68,-604.50
25021778,123.66,-604.50
25022464,120.85,-604.50
25023164,117.86,-604.50
25023851,114.79,-604.50
25024547,111.18,-604.50
25025246,107.67,-604.50
25025929,103.54,-604.50
25026622,99.14,-604.50
25027305,94.92,-604.50
25027991,89.56,-604.50
25028688,84.37,-604.50
25029387,79.28,-604.50
25030085,73.65,-604.50
25030777,68.47,-604.50
25031456,62.93,-604.50
25032156,57.66,-604.50
25032848,52.21,-604.50
