ESP-ROM:esp32c3-api1-20210207
.03,0.00
11896834,146.43,0.00
11897521,144.93,0.00
11898209,144.23,0.00
11898886,143.17,0.00
11899577,142.82,0.00
11900255,141.86,0.00
11900939,140.01,0.00
11901621,137.37,0.00
11902304,136.14,0.00
11902988,135.18,0.00
11903665,134.30,0.00
11904355,132.01,0.00
11905049,131.22,0.00
11905734,131.13,0.00
11906421,130.25,0.00
11907110,129.20,0.00
11907793,128.41,0.00
11908480,127.71,0.00
11909164,126.65,0.00
11909851,125.24,0.00
11910534,124.54,0.00
11911223,124.37,0.00
11911911,122.26,0.00
11912598,119.97,0.00
11913276,118.74,0.00
11913960,118.39,0.00
11914643,117.33,0.00
11915333,115.66,0.00
11916017,115.05,0.00
11916702,114.35,0.00
11917374,113.82,0.00
11918057,113.64,0.00
11918742,112.68,0.00
11919425,111.18,0.00
11920115,109.34,0.00
11920798,107.75,0.00
11921482,106.26,0.00
11922164,105.73,0.00
11922848,105.29,0.00
11923532,103.97,0.00
11924215,103.27,0.00
11924886,102.57,0.00
11925572,101.95,0.00
11926256,100.99,0.00
11926945,100.20,0.00
11927621,98.61,0.00
11928303,97.82,0.00
11928991,97.73,0.00
11929674,96.68,0.00
11930364,95.54,0.00
11931053,94.83,0.00
11931736,94.75,0.00
11932424,94.57,0.00
11933112,94.57,0.00
11933796,94.83,0.00
11934481,95.19,0.00
11935169,95.19,0.00
11935852,95.27,0.00
11936530,95.27,0.00
11937222,96.59,0.00
11937903,97.82,0.00
11938584,99.40,0.00
11939272,101.51,0.00
11939953,103.27,0.00
11940634,105.29,0.00
11941312,107.05,0.00
11942000,110.57,0.00
11942684,113.64,0.00
11943363,116.10,0.00
11944046,119.88,0.00
11944725,124.10,0.00
11945408,127.35,0.00
11946107,130.87,0.00
11946795,134.56,0.00
11947484,138.34,0.00
11948168,141.50,0.00
11948859,144.40,0.00
11949548,147.30,0.00
11950229,149.85,0.00
11950907,152.31,0.00
11951591,154.42,0.00
11952274,156.09,0.00
11952966,158.12,0.00
11953647,159.43,0.00
11954333,160.49,0.00
11955016,161.54,0.00
11955701,162.51,0.00
11956390,163.39,0.00
11957079,164.00,0.00
11957750,164.62,0.00
11958441,165.23,0.00
11959128,165.67,0.00
11959805,166.20,0.00
11960492,166.73,0.00
11961176,167.34,0.00
11961857,167.78,0.00
11962540,168.22,0.00
11963229,168.57,0.00
11963917,169.19,0.00
11964606,169.63,0.00
11965289,170.07,0.00
11965977,170.60,0.00
11966661,171.21,0.00
11967350,171.65,0.00
11968040,172.09,0.00
11968721,172.62,0.00
11969411,172.97,0.00
11970103,173.14,0.00
11970782,173.32,0.00
11971468,173.50,0.00
11972162,173.67,0.00
11972851,173.85,0.00
11973534,173.85,0.00
11974222,173.67,0.00
11974906,173.58,0.00
11975593,173.41,0.00
11976276,173.14,0.00
11976960,172.62,0.00
11977644,172.35,0.00
11978321,171.91,0.00
11979002,171.47,0.00
11979679,170.86,0.00
11980365,170.42,0.00
11981055,169.80,0.00
11981736,169.19,0.00
11982423,168.31,0.00
11983116,167.61,0.00
11983796,166.82,0.00
11984481,166.03,0.00
11985164,165.06,0.00
11985851,164.09,0.00
11986534,163.21,0.00
11987220,162.25,0.00
11987892,161.28,0.00
11988582,160.05,0.00
11989260,158.99,0.00
11989943,158.38,0.00
11990624,156.97,0.00
11991302,155.65,0.00
11991989,154.78,0.00
11992667,153.54,0.00
11993352,151.79,0.00
11994042,150.56,0.00
11994724,149.50,0.00
11995407,148.54,0.00
11996106,147.22,0.00
11996788,146.43,0.00
11997471,144.58,0.00
11998161,143.17,0.00
11998853,141.68,0.00
11999542,140.54,0.00
12000225,139.04,0.00
12000903,138.08,0.00
12001586,136.85,0.00
12002270,135.44,0.00
12002953,134.38,0.00
12003631,133.51,0.00
12004308,132.10,0.00
12004995,130.96,0.00
12005672,129.81,0.00
12011015,122.52,0.00
12011686,120.59,0.00
12012374,119.44,0.00
12013063,118.39,0.00
12013747,116.98,0.00
12014430,116.37,0.00
12015123,116.10,0.00
12015801,115.05,0.00
12016484,113.38,0.00
12017167,112.24,0.00
12017851,112.59,0.00
12018534,111.09,0.00
12019227,109.86,0.00
12019908,108.63,0.00
12020595,107.84,0.00
12021279,106.44,0.00
12021968,106.08,0.00
12022654,105.12,0.00
12023339,102.74,0.00
12024022,101.51,0.00
12024708,100.63,0.00
12025379,100.02,0.00
12026063,99.67,0.00
12026749,98.79,0.00
12027432,97.91,0.00
12028124,97.12,0.00
12028807,96.59,0.00
12029486,96.33,0.00
12030169,95.80,0.00
12030855,94.92,0.00
12031536,94.57,0.00
12032222,94.66,0.00
12032905,94.92,0.00
12033594,95.19,0.00
12034271,95.10,0.00
12034962,95.19,0.00
12035633,95.62,0.00
12036311,96.59,0.00
12036999,97.29,0.00
12037676,98.88,0.00
12038361,100.46,0.00
12039038,102.57,0.00
12039719,104.50,0.00
12040401,106.70,0.00
12041096,109.60,0.00
12041779,112.94,0.00
12042468,115.31,0.00
12043156,118.83,0.00
12043839,122.96,0.00
12044531,127.09,0.00
12045220,129.99,0.00
12045891,133.68,0.00
12046569,137.55,0.00
12047247,140.45,0.00
12047925,143.61,0.00
12048608,146.43,0.00
12049291,149.41,0.00
12049980,151.79,0.00
12050658,153.98,0.00
12051343,155.57,0.00
12052026,157.50,0.00
12052704,158.91,0.00
12053376,160.22,0.00
12054060,161.46,0.00
12054738,162.42,0.00
12055423,163.21,0.00
12056112,163.92,0.00
12056790,164.44,0.00
12057474,165.15,0.00
12058162,165.67,0.00
12058845,166.11,0.00
12059533,166.64,0.00
12060216,167.17,0.00
12060892,167.61,0.00
12061579,167.96,0.00
12062256,168.57,0.00
12062934,169.01,0.00
12063620,169.54,0.00
12064303,170.07,0.00
12064986,170.51,0.00
12065663,170.95,0.00
12066354,171.39,0.00
12067043,171.83,0.00
12067722,172.27,0.00
12068411,172.71,0.00
12069104,173.06,0.00
