Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2905274,98.17,0.00
2905944,97.73,0.00
2906615,97.47,0.00
2907302,97.12,0.00
2907983,96.86,0.00
2908677,96.59,0.00
2909359,96.33,0.00
2910048,95.98,0.00
2910718,95.62,0.00
2911402,95.36,0.00
2912084,95.01,0.00
2912763,94.75,0.00
2913439,94.48,0.00
2914127,94.31,0.00
2914810,94.13,0.00
2915497,94.13,0.00
2916179,94.13,0.00
2916861,94.22,0.00
2917543,94.39,0.00
2918225,94.57,0.00
2918912,94.83,0.00
2919600,95.01,0.00
2920287,95.27,0.00
2920964,95.54,0.00
2921656,95.80,0.00
2922344,96.15,0.00
2923035,96.50,0.00
2923701,96.86,0.00
2924386,97.47,0.00
2925068,98.17,0.00
2925739,98.96,0.00
2926426,99.84,0.00
2927114,100.90,0.00
2927791,101.87,0.00
2928481,103.10,0.00
2929166,104.15,0.00
2929849,105.12,0.00
2930535,106.26,0.00
2931219,107.40,0.00
2931910,108.46,0.00
2932591,109.42,0.00
2933280,110.57,0.00
2933954,111.80,0.00
2934644,112.94,0.00
2935320,114.35,0.00
2936003,115.93,0.00
2936690,117.25,0.00
2937367,118.74,0.00
2938057,120.32,0.00
2938737,121.64,0.00
2939421,123.05,0.00
2940116,124.19,0.00
2940794,125.07,0.00
2941482,126.12,0.00
2942168,127.00,0.00
2942850,127.79,0.00
2943538,128.50,0.00
2944221,129.37,0.00
2944904,130.25,0.00
2945588,130.96,0.00
2946280,131.75,0.00
2946954,132.54,0.00
2947639,133.15,0.00
2948322,133.77,0.00
2949005,134.30,0.00
2949685,134.65,0.00
2950362,134.91,0.00
2951052,135.09,0.00
2951723,135.18,0.00
2952407,135.18,0.00
2953092,135.18,0.00
2953777,135.26,0.00
2954453,135.35,0.00
2955149,135.44,0.00
2955828,135.44,0.00
2956508,135.53,0.00
2957189,135.62,0.00
2957872,135.62,0.00
2958549,135.53,0.00
2959219,135.35,0.00
2959904,135.09,0.00
2960590,134.65,0.00
2961273,134.12,0.00
2961953,133.68,0.00
2962644,133.15,0.00
2963315,132.63,0.00
2963993,132.10,0.00
2964676,131.66,0.00
2965359,131.22,0.00
2966052,130.78,0.00
2966732,130.34,0.00
2967421,129.99,0.00
2968115,129.64,0.00
2968791,129.11,0.00
2969477,128.58,0.00
2970166,128.06,0.00
2970849,127.35,0.00
2971531,126.65,0.00
2972223,126.04,0.00
2972905,125.24,0.00
2973588,124.54,0.00
2974276,123.84,0.00
2974947,123.22,0.00
2975625,122.61,0.00
2976313,122.17,0.00
2976996,121.55,0.00
2977683,121.03,0.00
2978360,120.59,0.00
2979053,119.97,0.00
2979729,119.27,0.00
2980418,118.74,0.00
2981102,118.04,0.00
2981780,117.25,0.00
2982472,116.46,0.00
2983161,115.84,0.00
2983849,115.14,0.00
2984532,114.43,0.00
2985215,113.91,0.00
2985899,113.38,0.00
2986582,112.76,0.00
2987270,112.32,0.00
2987941,111.80,0.00
2988624,111.27,0.00
2989306,110.74,0.00
2989984,110.04,0.00
2990673,109.34,0.00
2991350,108.81,0.00
2992039,108.11,0.00
2992722,107.31,0.00
2993406,106.70,0.00
2994088,106.00,0.00
2994767,105.47,0.00
2995438,104.94,0.00
2996122,104.41,0.00
2996800,103.89,0.00
2997483,103.54,0.00
2998167,103.01,0.00
2998849,102.57,0.00
2999532,102.13,0.00
3000209,101.51,0.00
3000899,100.99,0.00
3001576,100.46,0.00
3002258,99.84,0.00
3002941,99.23,0.00
3003621,98.70,0.00
3004296,98.17,0.00
3004973,97.82,0.00
3005662,97.47,0.00
3006344,97.03,0.00
3007037,96.77,0.00
3007719,96.59,0.00
3008407,96.33,0.00
3009084,96.06,0.00
3009767,95.80,0.00
3010448,95.45,0.00
3011136,95.19,0.00
3011813,94.83,0.00
3012504,94.57,0.00
3013186,94.31,0.00
3013869,94.13,0.00
3014551,93.96,0.00
3015227,93.87,0.00
3015915,93.96,0.00
3016597,94.04,0.00
3017279,94.31,0.00
3017955,94.57,0.00
3018631,94.83,0.00
3019314,95.10,0.00
3019995,95.27,0.00
3020683,95.54,0.00
3021360,95.89,0.00
3022049,96.24,0.00
3022719,96.59,0.00
3023408,97.03,0.00
3024090,97.56,0.00
3024774,98.35,0.00
3025456,99.14,0.00
3026150,99.93,0.00
3026833,100.99,0.00
3027516,102.22,0.00
3028196,103.27,0.00
3028878,104.50,0.00
3029561,105.64,0.00
3030238,106.61,0.00
3030921,107.75,0.00
3031604,108.90,0.00
3032285,109.86,0.00
3032956,111.09,0.00
3033633,112.24,0.00
3034315,113.38,0.00
3034993,114.79,0.00
3035686,116.37,0.00
3036362,117.69,0.00
3037052,119.18,0.00
3037723,120.50,0.00
3038413,122.17,0.00
3039107,123.57,0.00
3039785,124.72,0.00
3040477,125.60,0.00
3041166,126.65,0.00
3041843,127.44,0.00
3042535,128.23,0.00
3043223,128.85,0.00
3043906,129.64,0.00
3044598,130.43,0.00
3045286,131.13,0.00
3045957,131.92,0.00
3046639,132.80,0.00
3047316,133.42,0.00
3047993,134.03,0.00
3048685,134.74,0.00
3049368,135.09,0.00
3050062,135.44,0.00
3050736,135.62,0.00
3051421,135.70,0.00
3052110,135.70,0.00
3052787,135.70,0.00
3053475,135.70,0.00
3054166,135.70,0.00
3054843,135.70,0.00
3055526,135.70,0.00
3056196,135.70,0.00
3056873,135.70,0.00
3057555,135.62,0.00
3058235,135.53,0.00
3058918,135.35,0.00
3059589,135.09,0.00
3060273,134.65,0.00
3060950,134.30,0.00
3061632,133.77,0.00
3062309,133.24,0.00
3062992,132.71,0.00
3063681,132.19,0.00
3064363,131.75,0.00
3065058,131.31,0.00
3065730,130.96,0.00
3066421,130.52,0.00
3067110,130.17,0.00
3067788,129.81,0.00
3068477,129.29,0.00
3069161,128.76,0.00
3069844,128.23,0.00
3070534,127.53,0.00
3071211,126.74,0.00
3071888,126.12,0.00
3072559,125.33,0.00
3073236,124.63,0.00
3073907,123.93,0.00
3074581,123.31,0.00
3075261,122.78,0.00
3075949,122.17,0.00
3076637,121.64,0.00
3077320,121.11,0.00
3078003,120.67,0.00
3078690,120.06,0.00
3079372,119.53,0.00
3080066,118.83,0.00
3080749,118.12,0.00
3081441,117.33,0.00
3082136,116.72,0.00
3082819,115.93,0.00
3083504,115.22,0.00
3084193,114.52,0.00
3084881,113.99,0.00
3085563,113.38,0.00
3086246,112.85,0.00
3086934,112.41,0.00
3087623,111.88,0.00
3088311,111.36,0.00
3088999,110.74,0.00
3089694,110.21,0.00
3090376,109.51,0.00
3091071,108.90,0.00
3091747,108.28,0.00
3092436,107.49,0.00
3093131,106.79,0.00
3093814,106.17,0.00
3094503,105.64,0.00
3095190,105.03,0.00
3095878,104.50,0.00
3096554,104.06,0.00
3097230,103.62,0.00
3097923,103.10,0.00
3098598,102.66,0.00
3099276,102.13,0.00
3099955,101.60,0.00
3100637,101.07,0.00
3101324,100.46,0.00
